companyname,ShippingAddress,addresstype
Family's Favorite Bike Shop,"26910 Indela Road, Montreal",Shipping
Center Cycle Shop,"1318 Lasalle Street, Bothell",Shipping
Safe Cycles Shop,"2681 Eagle Peak, Bellevue",Shipping
Modular Cycle Systems,"165 North Main, Austin",Shipping
Progressive Sports,"7943 Walnut Ave, Renton",Shipping
Hardware Components,"99 Front Street, Minneapolis",Shipping
Sample Bike Store,"2000 300th Street, Denver",Shipping
Racing Toys,"9228 Via Del Sol, Phoenix",Shipping
Elite Bikes,"9178 Jumping St., Dallas",Shipping
All Cycle Shop,"8713 Yosemite Ct., Bothell",Shipping
